State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18
AL,Autauga County,32.536382,-86.64449,91.8,59338,32.6
AL,Bibb County,33.015893,-87.127148,36.8,46064,47.3
AL,Blount County,33.977448,-86.567246,88.9,50412,34
AL,Calhoun County,33.771706,-85.822513,195.7,45400,32.4
AL,Geneva County,31.090866,-85.824346,46.6,37823,37.2
AL,Lawrence County,34.529776,-87.321865,49.7,43909,41.5
AL,Mobile County,30.684573,-88.196568,335.9,43598,33.5
AL,Monroe County,31.580332,-87.383266,22.5,39556,46.1
AL,Pike County,31.798726,-85.941997,48.9,37259,33.3
AL,Tallapoosa County,32.863369,-85.799553,58.1,42205,32.9
AK,Anchorage Municipality,61.177549,-149.274354,171.2,82113,23.8
AR,Baxter County,36.28071,-92.330438,74.9,39686,35
AR,Boone County,36.304308,-93.079204,62.5,44482,33.8
AR,Clay County,36.367302,-90.418704,25.2,37687,41.2
AR,Crittenden County,35.211878,-90.315331,83.5,42606,35
AR,Desha County,33.828748,-91.244427,16.9,36132,44
AR,Hempstead County,33.728611,-93.665809,31.1,38682,36.9
AR,Jefferson County,34.277696,-91.930701,88.9,38596,38.5
AR,Mississippi County,35.766943,-90.052209,51.6,36718,38.6
AR,Nevada County,33.666699,-93.305072,14.6,37626,43.8
AR,Polk County,34.490915,-94.230884,24.1,39048,37.4
AR,Saline County,34.648525,-92.674463,148,63677,31.5
AR,Searcy County,35.90966,-92.699351,12.3,31659,45.1
AR,White County,35.254722,-91.753158,74.5,44811,38.4
CA,Alameda County,37.648081,-121.913304,2043.6,101744,17.6
CA,Calaveras County,38.187844,-120.555115,44.7,62984,27.6
CA,Contra Costa County,37.919479,-121.951543,1465.2,101463,17.6
CA,Glenn County,39.602546,-122.4017,21.4,47365,28.2
CA,Humboldt County,40.706673,-123.925818,37.7,49471,23.5
CA,Lassen County,40.721089,-120.629931,7.7,57705,33.2
CA,Placer County,39.062032,-120.722718,247.6,89175,18.2
CA,Sacramento County,38.450011,-121.340441,1470.8,69475,22.3
CA,San Luis Obispo County,35.385227,-120.44754,81.7,70626,19.8
CA,San Mateo County,37.414664,-122.371542,1602.2,122930,15
CA,Shasta County,40.760522,-122.04355,46.9,53908,24.8
CA,Siskiyou County,41.587986,-122.533287,7.2,47560,25.5
CA,Tulare County,36.230453,-118.780542,91.7,48763,26
CO,Alamosa County,37.568442,-105.788041,21.4,42897,27.3
CO,Archuleta County,37.202395,-107.050863,8.9,53337,21.5
CO,Boulder County,40.094826,-105.398382,405.6,83591,12.3
CO,La Plata County,37.287367,-107.839718,30.3,66219,20.3
CO,Larimer County,40.663091,-105.482131,115.4,71306,19.2
CT,Windham County,41.824999,-71.990702,230.9,65182,33
FL,Citrus County,28.843628,-82.524796,242.8,41556,38.3
FL,Gilchrist County,29.723456,-82.795801,48.4,42186,42.2
FL,Holmes County,30.866222,-85.812959,41.6,38040,39
FL,Jackson County,30.787812,-85.210374,54.2,39545,37.4
FL,Okaloosa County,30.665858,-86.594194,194.4,62779,24.7
GA,Appling County,31.739712,-82.290103,36,42781,38.3
GA,Barrow County,33.992009,-83.712303,432.7,61413,34.4
GA,Dodge County,32.160656,-83.156818,44,35636,42.3
GA,Fayette County,33.412717,-84.493941,548.3,95021,20.7
GA,Forsyth County,34.225143,-84.127336,783.5,105921,16.6
GA,Hart County,34.348733,-82.96329,108.5,47171,36.7
GA,Laurens County,32.39322,-82.926317,60,42114,43.4
GA,Lincoln County,33.792151,-82.448299,38,46967,41.4
GA,McIntosh County,31.482978,-81.370199,33.8,42513,38.1
GA,Miller County,31.162908,-84.730386,21.7,42483,38.1
GA,Polk County,33.995961,-85.186826,133.6,43679,39.6
GA,Richmond County,33.361487,-82.074998,618.4,40168,30.7
GA,Towns County,34.90265,-83.732158,62.9,45853,30.8
GA,Treutlen County,32.409586,-82.570882,34.5,35069,38.9
GA,Turner County,31.718232,-83.628567,31.3,33261,40.4
GA,Wayne County,31.547845,-81.912376,46.9,44607,40.6
HI,Hawaii County,19.597764,-155.502443,45.9,56383,30.4
ID,Bingham County,43.216357,-112.399206,21.8,50941,30
ID,Latah County,46.81892,-116.730974,34.6,49538,19.9
ID,Teton County,43.760994,-111.211765,22.6,68749,16.2
IL,Adams County,39.986053,-91.194961,78.5,55174,34.5
IL,Cook County,41.894294,-87.645455,5495.1,63347,23.3
IL,Ford County,40.594423,-88.224746,29,55357,36
IL,Gallatin County,37.768677,-88.227964,17.3,43330,40.7
IL,Jo Daviess County,42.362391,-90.211471,37.7,56832,37.1
IL,Knox County,40.930941,-90.213761,73.9,44553,36.2
IL,Lake County,42.326444,-87.436118,1585.6,87336,21.1
IL,Lawrence County,38.718954,-87.730221,45.2,43767,37
IL,Monroe County,38.277983,-90.179078,85.6,88481,29.2
IL,Randolph County,38.056515,-89.82121,58.2,53607,39.3
IL,St. Clair County,38.470198,-89.928546,410.6,58222,28.6
IL,Stephenson County,42.349726,-89.665994,84.5,47357,36
IN,Allen County,41.091855,-85.07223,540.6,54473,28.7
IN,DeKalb County,41.401189,-85.000185,116.4,58987,41.8
IN,Dubois County,38.373344,-86.873385,98,62126,39.2
IN,Greene County,39.0486,-87.005245,61.1,46835,41.7
IN,Hamilton County,40.04987,-86.020586,696.4,101740,15.3
IN,LaPorte County,41.549011,-86.744729,186.3,52095,39.3
IN,Martin County,38.705322,-86.801847,30.8,55444,43.2
IN,Miami County,40.772881,-86.044259,98.7,47624,42.5
IN,Ohio County,38.940527,-84.964299,71.1,58022,45.6
IN,Ripley County,39.10023,-85.260541,64.6,57436,43.5
IN,St. Joseph County,41.617699,-86.288159,583,54674,30.7
IN,Shelby County,39.524135,-85.792174,108.1,57193,42.7
IN,Steuben County,41.643437,-85.002467,110.7,58295,38.3
IN,Switzerland County,38.825846,-85.029679,48.1,47713,48.6
IN,Tippecanoe County,40.38926,-86.893943,345.7,52269,25
IN,Wabash County,40.843717,-85.795175,79.7,51487,42.5
IN,Warrick County,38.097764,-87.272023,155.1,75534,31.4
IA,Benton County,42.092547,-92.05763,36.4,62799,36.3
IA,Boone County,42.038601,-93.939138,46,63099,32.3
IA,Cherokee County,42.742738,-95.633262,20.9,56312,35.9
IA,Clay County,43.079822,-95.149726,29.4,56338,34.1
IA,Decatur County,40.736379,-93.78458,15.9,41101,37.6
IA,Harrison County,41.688584,-95.827149,21.4,60044,38
IA,Henry County,40.985864,-91.54427,46.4,55856,37.7
IA,Kossuth County,43.212478,-94.213983,16,55486,37.6
IA,Mahaska County,41.330797,-92.636366,39.2,56492,38.8
IA,Winnebago County,43.378124,-93.743488,27.1,54433,33.3
IA,Worth County,43.373491,-93.248533,19,58587,37.2
IA,Wright County,42.733007,-93.734735,22.8,54802,35.9
KS,Lyon County,38.455498,-96.161589,39.8,47982,30.9
KS,Wabaunsee County,38.955154,-96.201262,8.9,59744,34.6
KY,Fayette County,38.040157,-84.458443,1042.8,55358,20
KY,Floyd County,37.558283,-82.740337,100.3,33218,35.8
KY,Jessamine County,37.873291,-84.58396,282.3,59443,30.3
KY,Kenton County,38.930477,-84.533492,996.7,64644,28.7
KY,Letcher County,37.118503,-82.861175,72.6,32321,37.5
KY,Metcalfe County,36.990394,-85.629554,34.9,35906,37
KY,Montgomery County,38.038138,-83.912338,134.3,46629,40.8
KY,Nelson County,37.803188,-85.465955,104,55602,38.7
KY,Oldham County,38.400046,-85.456059,322.2,102136,21.3
KY,Perry County,37.241282,-83.217772,84.5,33108,34.8
KY,Scott County,38.289882,-84.579376,167.4,73500,30.5
KY,Spencer County,38.026976,-85.321525,91.4,85899,35.1
KY,Taylor County,37.365106,-85.326698,92,45429,39.5
LA,East Feliciana Parish,30.839784,-91.043434,44.7,45174,42.5
LA,St. Helena Parish,30.821423,-90.70935,27.4,38699,40
LA,Union Parish,32.829349,-92.37565,25.9,43584,47.1
LA,West Feliciana Parish,30.872701,-91.421008,38.8,60296,35.7
MD,Anne Arundel County,38.993374,-76.560511,1295.9,97051,23.8
MD,Baltimore County,39.443167,-76.616569,1345.5,75836,26.2
MD,Charles County,38.472853,-77.015427,320.2,92616,31.4
MD,Dorchester County,38.429196,-76.047433,60.3,48682,39.4
MD,Frederick County,39.470427,-77.397627,353.5,95196,24.3
MD,Harford County,39.537429,-76.299789,560.1,87959,26.6
MD,Kent County,39.239177,-76.1242,72.9,55514,28.6
MD,St. Mary's County,38.222666,-76.534271,294.4,89964,30
MD,Washington County,39.603621,-77.814671,322.1,62556,36.4
MA,Barnstable County,41.798819,-70.211083,548.3,69001,24.3
MA,Middlesex County,42.479477,-71.396507,1837.9,100374,19.6
MA,Plymouth County,41.987196,-70.741942,750.9,89678,27.9
MA,Suffolk County,42.33196,-71.020173,12415.6,68743,22.4
MI,Cass County,41.91624,-85.999457,106.7,55978,33.2
MI,Dickinson County,46.012823,-87.866119,34.4,52348,33.8
MI,Iosco County,44.329482,-82.849447,47.1,41256,37.8
MI,Livingston County,42.602532,-83.911718,320.2,84048,25.9
MI,Marquette County,46.656597,-87.584028,37.1,54093,31.5
MI,Mecosta County,43.635295,-85.332751,77.1,45804,36.2
MI,Menominee County,45.544174,-87.509892,23,46486,42.8
MI,Oakland County,42.660452,-83.38421,1385.7,80319,18.8
MI,Sanilac County,43.449155,-82.642815,44.8,46184,41.5
MN,Anoka County,45.27411,-93.242723,782.1,82284,27.9
MN,Douglas County,45.936429,-95.46061,56.5,60979,29.6
MN,Itasca County,47.490843,-93.613128,16.9,53143,30.2
MN,Mahnomen County,47.325842,-95.810703,9.7,43162,37.9
MN,Ramsey County,45.01525,-93.100141,3341.6,62937,20.9
MN,Wabasha County,44.289693,-92.233341,41.4,63633,34.5
MS,Chickasaw County,33.921654,-88.945808,34.7,37429,37
MS,Clarke County,32.048448,-88.685964,24.2,41495,36.4
MS,Franklin County,31.477798,-90.895884,14.4,39508,35.1
MS,George County,30.855431,-88.642268,47.2,47246,38.9
MS,Holmes County,33.125942,-90.091197,25.4,26449,41.2
MS,Jackson County,30.458491,-88.619991,193.2,51771,31.5
MS,Jones County,31.621044,-89.167262,97.5,42435,30.5
MS,Leflore County,33.54979,-90.294934,54.5,29244,36.5
MS,Monroe County,33.89003,-88.485038,48.3,44681,35.8
MS,Pearl River County,30.773791,-89.586832,68.9,45268,29.9
MS,Quitman County,34.25264,-90.290525,20.3,27767,30.2
MS,Sharkey County,32.89249,-90.827388,11.4,28887,24.2
MS,Warren County,32.357005,-90.851791,82.9,46049,31.2
MO,Bollinger County,37.318349,-90.024601,20,44233,46.5
MO,Cass County,38.647159,-94.354242,142.8,71374,33.1
MO,Clay County,39.315551,-94.421502,558.6,68943,28.8
MO,Cole County,38.506847,-92.271404,193,62817,30.7
MO,Franklin County,38.408313,-91.07341,110,58738,32.8
MO,Gasconade County,38.441183,-91.50578,29.4,52282,39.3
MO,Jackson County,39.007233,-94.342507,1115.3,55864,28.4
MO,Lafayette County,39.068705,-93.802639,53.1,53389,43.2
MO,Linn County,39.86444,-93.108019,20.7,44992,46
MO,Osage County,38.464254,-91.859504,23,58855,43.9
MO,Phelps County,37.866326,-91.790349,67.2,43079,29.9
MO,Platte County,39.378696,-94.761472,212.6,82567,21.8
MO,St. Clair County,38.039069,-93.773077,14.6,37013,42.5
MO,St. Louis County,38.640702,-90.445954,1967.2,66992,21.2
MO,Scott County,37.047793,-89.568098,93.3,44261,42.1
MO,Stoddard County,36.855428,-89.941735,36.4,40808,40.2
MO,St. Louis city,38.635699,-90.244582,5157.5,43263,23.6
MT,Deer Lodge County,46.099059,-113.139108,12.6,45641,37.7
MT,Lincoln County,48.542232,-115.404343,5.4,40602,34.9
NE,Cass County,40.909878,-96.140609,45.3,75177,29.9
NE,Dawson County,40.867378,-99.815154,24,56818,32
NE,Platte County,41.576866,-97.513467,47.8,63656,30.7
NE,Saline County,40.516802,-97.131755,24.7,54569,35.2
NE,York County,40.873056,-97.596742,23.9,61478,29.5
NV,Douglas County,38.905129,-119.609019,66.2,70495,24.1
NV,Lyon County,39.022214,-119.197417,26,59732,32.5
NH,Rockingham County,42.98936,-71.099437,425,93645,25.1
NJ,Salem County,39.573828,-75.357356,199.1,64524,37.7
NM,Chaves County,33.361605,-104.469837,10.8,43527,27.8
NM,Lea County,32.795687,-103.413271,14.7,51656,32.4
NY,Allegany County,42.247894,-78.026176,47.6,46262,36.7
NY,Columbia County,42.247729,-73.626805,99.4,64916,30.5
NY,Jefferson County,43.995371,-76.053522,91.6,52798,34
NY,Montgomery County,42.900891,-74.435358,124.6,43799,35.2
NY,Otsego County,42.629776,-75.028841,62.2,54321,32
NY,Warren County,43.555105,-73.838139,75.8,56694,31.8
NY,Washington County,43.312377,-73.439428,76.1,55913,38.2
NC,Beaufort County,35.482313,-76.842014,57.7,46411,33.6
NC,Chowan County,36.127288,-76.60207,85.8,42618,34.3
NC,Columbus County,34.260471,-78.636378,62,36862,34.7
NC,Cumberland County,35.050192,-78.828719,489.7,46779,25.5
NC,Edgecombe County,35.917055,-77.602655,111.9,38818,37.3
NC,Harnett County,35.368635,-78.87161,192.7,51225,29.9
NC,Nash County,35.965945,-77.987555,177.3,50122,33.6
NC,Person County,36.386387,-78.965471,100.6,50149,36.2
NC,Pitt County,35.591065,-77.372404,257.9,43303,23.6
NC,Rockingham County,36.380927,-79.782889,165.6,41869,34.5
NC,Stanly County,35.310523,-80.254355,153.3,51491,34.7
ND,Benson County,48.071738,-99.361987,4.8,42407,29.8
ND,Ramsey County,48.265551,-98.737329,9.6,54814,28.9
ND,Traill County,47.446215,-97.164754,9.4,59931,25.5
OH,Adams County,38.841681,-83.474173,48.9,42154,43.6
OH,Erie County,41.554006,-82.525897,306.4,53135,37.8
OH,Licking County,40.093609,-82.481251,243.9,66145,34.8
OH,Lucas County,41.682321,-83.468867,1296.2,47865,29.7
OH,Miami County,40.053326,-84.228414,252.1,59922,36.8
OH,Pike County,39.071365,-83.052921,65.2,45163,40.4
OH,Richland County,40.774167,-82.542715,251.3,49668,39.8
OH,Williams County,41.564958,-84.584323,89.4,54581,43.4
OH,Wood County,41.360183,-83.622682,203.3,64282,31.1
OK,Blaine County,35.877782,-98.428934,12.9,49513,34.5
OK,Craig County,36.76389,-95.201553,19.7,43074,40.1
OK,Kay County,36.814842,-97.143755,50.6,45700,32.7
OK,McIntosh County,35.369092,-95.671764,32.7,37468,42.2
OK,Major County,36.313119,-98.542015,7.9,56102,40.4
OK,Mayes County,36.303804,-95.235638,63,50951,39.1
OK,Osage County,36.62468,-96.408385,21.1,48826,38.6
OK,Rogers County,36.378082,-95.601337,128.6,61849,32.8
OK,Seminole County,35.158366,-96.602858,40.3,37901,34.1
OK,Texas County,36.741964,-101.488434,10.1,51812,26.1
OR,Clatsop County,46.024509,-123.705014,44.7,53806,25.1
OR,Deschutes County,43.915118,-121.225575,52.3,67372,22.3
OR,Hood River County,45.511775,-121.655976,42.8,66607,21.2
OR,Jefferson County,44.64379,-121.183021,12.2,50376,29.6
OR,Lincoln County,44.641076,-123.911183,47,49265,27.5
OR,Polk County,44.904395,-123.397329,101.8,62389,24
PA,Berks County,40.413957,-75.92686,480.4,62519,37.2
PA,Cambria County,40.494127,-78.715284,208.7,45163,44.9
PA,Crawford County,41.68684,-80.107811,87.7,50805,46.3
PA,Delaware County,39.91667,-75.398786,3040.5,71961,30.5
PA,Erie County,42.117952,-80.096386,351.1,48453,39
PA,Franklin County,39.926686,-77.724485,193.7,60744,42.7
PA,Indiana County,40.651432,-79.087545,107.5,47999,43.7
PA,Juniata County,40.530673,-77.400438,63,54342,49.5
PA,Warren County,41.843669,-79.313173,47.3,50554,46.1
SC,Barnwell County,33.26068,-81.433753,41.2,38131,35.7
SC,Cherokee County,35.049796,-81.607647,140.9,42542,36.6
SC,Clarendon County,33.664682,-80.217889,57.6,36722,37.3
SC,Dillon County,34.390172,-79.374964,79.2,33159,38.4
SC,Edgefield County,33.776498,-81.968245,53.9,48818,37.1
SC,Florence County,34.028535,-79.710233,171.1,47949,33.1
SC,Lancaster County,34.686818,-80.703689,139.6,58035,31.9
SC,Williamsburg County,33.626463,-79.716475,36.8,32814,41.9
SD,Brule County,43.72988,-99.092941,6.4,49732,30.7
SD,Clay County,42.912997,-96.979795,33.6,46378,21.7
SD,Hughes County,44.392258,-99.985846,23,70093,27.8
SD,McCook County,43.678924,-97.362036,9.8,59913,34.1
TN,Campbell County,36.401592,-84.15925,84.8,39443,40.9
TN,Claiborne County,36.501557,-83.660724,74.1,37987,38.4
TN,Cocke County,35.916198,-83.119223,82.1,36192,45.4
TN,Dickson County,36.145533,-87.364155,101.4,56166,41.2
TN,Franklin County,35.155926,-86.099203,74,50201,40
TN,Grainger County,36.277463,-83.509493,80.7,41829,44.1
TN,Hickman County,35.802396,-87.467114,40.3,44684,44.5
TN,Humphreys County,36.04044,-87.790625,34.9,48056,46.7
TN,Knox County,35.992727,-83.937721,850.5,55874,25.8
TN,McMinn County,35.424471,-84.619963,121.5,46029,42.6
TN,Marshall County,35.468387,-86.765886,81.5,51868,42.2
TN,Maury County,35.615696,-87.077763,132,57337,35.8
TN,Meigs County,35.503397,-84.823888,60.2,50565,45.4
TN,Moore County,35.288889,-86.358684,49.2,58234,42
TN,Putnam County,36.140807,-85.496928,180.3,45512,37
TN,Sequatchie County,35.372335,-85.410344,53.1,49707,39.2
TN,Tipton County,35.500297,-89.763708,133.3,60874,38.5
TN,Washington County,36.295665,-82.495037,376.7,49242,28.8
TX,Aransas County,28.104225,-96.977983,91.9,46912,29.7
TX,Bailey County,34.067521,-102.830345,8.7,45051,35.2
TX,Brooks County,27.034994,-98.215276,7.7,30116,27.5
TX,Cameron County,26.102923,-97.478958,456,38106,26
TX,Cooke County,33.639169,-97.210372,43.9,52047,31.5
TX,Dawson County,32.741934,-101.947322,15.4,43726,36.6
TX,Duval County,27.681123,-98.497393,6.6,35156,31.1
TX,Edwards County,29.985877,-100.307373,0.9,37812,29
TX,Fannin County,33.591161,-96.104988,38.1,53111,35.8
TX,Gray County,35.402542,-100.812374,24.3,49121,32.3
TX,Jackson County,28.959802,-96.58908,17,54088,33
TX,Jim Wells County,27.733516,-98.090814,47.2,41919,36.7
TX,Johnson County,32.379511,-97.364823,208.3,62635,33.8
TX,Kaufman County,32.598944,-96.288378,132.4,67434,33.1
TX,Maverick County,28.745217,-100.311368,42.4,35594,21.9
TX,Panola County,32.163978,-94.305156,29.7,51192,33.5
TX,Rains County,32.87058,-95.79544,47.6,47572,41.8
TX,San Augustine County,31.382449,-94.16318,16.7,38826,39
TX,Walker County,30.74309,-95.569888,86.5,43681,38.6
TX,Wharton County,29.278481,-96.229675,38,48040,29.5
TX,Willacy County,26.481092,-97.584224,37.5,33171,36.5
TX,Zapata County,26.996981,-99.182603,14,33160,29.5
UT,Duchesne County,40.289649,-110.42983,5.7,60767,36.6
VT,Washington County,44.274953,-72.609475,86.6,61808,27.3
VT,Windham County,42.999143,-72.716335,56.7,54441,30.2
VA,Arlington County,38.878337,-77.100703,7993.5,120950,8.1
VA,Augusta County,38.167807,-79.146682,76.3,60556,38.2
VA,Carroll County,36.732426,-80.728043,63.3,41517,36.3
VA,Charlotte County,37.014091,-78.661424,26.5,41382,43.6
VA,Chesterfield County,37.378434,-77.585847,747.1,80734,23.4
VA,Fairfax County,38.833743,-77.276117,2766.8,122035,12.8
VA,Fluvanna County,37.830606,-78.284445,89.8,73463,24.1
VA,Hanover County,37.760166,-77.490992,213.1,91028,25.6
VA,Henrico County,37.437521,-77.300333,1313.4,68581,21.7
VA,Lunenburg County,36.945757,-78.242313,29.9,41421,39.8
VA,Prince William County,38.702332,-77.478887,1195,106200,20.7
VA,Shenandoah County,38.856204,-78.573987,82.5,55283,38
VA,York County,37.220914,-76.395533,624.8,86317,18.1
VA,Franklin city,36.684014,-76.941396,1045.8,37327,30.6
VA,Fredericksburg city,38.299272,-77.486658,2326.2,58448,23.2
VA,Portsmouth city,36.85943,-76.356269,2838.9,47343,29.8
VA,Richmond city,37.531399,-77.476009,3414.7,48747,22.3
VA,Suffolk city,36.697157,-76.634781,211.4,69753,28.1
WA,Douglas County,47.735866,-119.69588,21.1,65912,29
WA,Grant County,47.213633,-119.467788,33.3,53688,26.6
WA,Grays Harbor County,47.142786,-123.827043,38.3,48763,32.9
WA,Pierce County,47.040716,-122.144709,476.3,75022,27.5
WA,Thurston County,46.932598,-122.829441,349.4,72400,21.3
WA,Whatcom County,48.842653,-121.836433,95.5,62262,23.3
WV,Boone County,38.022838,-81.713314,49.1,38110,50.6
WV,Fayette County,38.030933,-81.086051,69.6,37867,43
WV,Kanawha County,38.328061,-81.523522,214.1,41926,37.5
WI,Ashland County,46.546291,-90.665154,15.5,44627,35.6
WI,Door County,45.067808,-87.087936,57.6,61221,31.1
WI,Dunn County,44.947741,-91.89772,51.6,57506,34.1
WI,Fond du Lac County,43.754722,-88.493284,141.2,59428,36.6
WI,Kewaunee County,44.500949,-87.161813,60.1,63612,40.8
WI,Outagamie County,44.418226,-88.464988,277.2,65993,32.3
WI,Ozaukee County,43.360715,-87.496553,370.7,83014,20
WI,Pierce County,44.725337,-92.426279,71.5,75421,32.6
WI,Price County,45.679072,-90.35965,11.3,47032,40.3
WI,Racine County,42.754075,-87.414676,587.7,60349,31.6
WI,Sauk County,43.427998,-89.943329,74.6,57256,34.4
WI,Waupaca County,44.478004,-88.967006,70.1,58648,42.8
